time,hours_elapsed,surface_t,beached_t,evaporated_t,dispersed_t,surface_pct,beached_pct,evaporated_pct,dispersed_pct
2016-09-01 00:00:00,0,50.344,0.0,0.0,0.0,100.69,0.0,0.0,0.0
2016-09-01 01:00:00,1,50.1269,0.0,0.108,0.0,100.25,0.0,0.22,0.0
2016-09-01 02:00:00,2,49.914,0.0,0.3223,0.0,99.83,0.0,0.64,0.0
2016-09-01 03:00:00,3,49.7103,0.0,0.5297,0.0,99.42,0.0,1.06,0.0
2016-09-01 04:00:00,4,49.5169,0.0,0.7265,0.0,99.03,0.0,1.45,0.0
2016-09-01 05:00:00,5,49.3263,0.0,0.9153,0.0,98.65,0.0,1.83,0.0
2016-09-01 06:00:00,6,49.1328,0.0,1.1077,0.0,98.27,0.0,2.22,0.0
2016-09-01 07:00:00,7,48.9523,0.0,1.2963,0.0,97.9,0.0,2.59,0.0
2016-09-01 08:00:00,8,48.7988,0.0,1.461,0.0,97.6,0.0,2.92,0.0
2016-09-01 09:00:00,9,48.6595,0.0,1.6037,0.0,97.32,0.0,3.21,0.0
2016-09-01 10:00:00,10,48.5245,0.0,1.7422,0.0,97.05,0.0,3.48,0.0
2016-09-01 11:00:00,11,48.4056,0.0,1.8688,0.0,96.81,0.0,3.74,0.0
2016-09-01 12:00:00,12,48.3045,0.0,1.9768,0.0,96.61,0.0,3.95,0.0
2016-09-01 13:00:00,13,48.2087,0.0,2.073,0.0,96.42,0.0,4.15,0.0
2016-09-01 14:00:00,14,48.1083,0.0,2.1691,0.0,96.22,0.0,4.34,0.0
2016-09-01 15:00:00,15,47.9968,0.0,2.2742,0.0,95.99,0.0,4.55,0.0
2016-09-01 16:00:00,16,47.8759,0.0,2.3907,0.0,95.75,0.0,4.78,0.0
2016-09-01 17:00:00,17,47.7525,0.0,2.5123,0.0,95.5,0.0,5.02,0.0
2016-09-01 18:00:00,18,47.5562,0.0,2.6365,0.0,95.11,0.0,5.27,0.0
2016-09-01 19:00:00,19,47.2434,0.0,2.7628,0.0,94.49,0.0,5.53,0.0
2016-09-01 20:00:00,20,46.8425,0.0,2.8898,0.2677,93.69,0.0,5.78,0.54
2016-09-01 21:00:00,21,46.459,0.0,3.0083,0.5327,92.92,0.0,6.02,1.07
2016-09-01 22:00:00,22,46.1875,0.0,3.1085,0.704,92.38,0.0,6.22,1.41
2016-09-01 23:00:00,23,46.0116,0.0,3.1871,0.8013,92.02,0.0,6.37,1.6
2016-09-02 00:00:00,24,45.7524,0.0,3.26,0.9876,91.5,0.0,6.52,1.98
2016-09-02 01:00:00,25,45.4411,0.0,3.3085,1.2503,90.88,0.0,6.62,2.5
2016-09-02 02:00:00,26,45.0928,0.0,3.3306,1.5766,90.19,0.0,6.66,3.15
