model_result,track_id,pair_role,pairing_date_utc,fss_1km,fss_3km,fss_5km,fss_10km,mean_fss,iou,dice,area_ratio_forecast_to_obs,centroid_distance_m,forecast_nonzero_cells,obs_nonzero_cells
OpenDrift deterministic,opendrift_control,per_date,2010-05-21,0.3929240538781627,0.4502826053749162,0.4692022064514385,0.502935699100052,0.45383614120114235,0.2444962572094735,0.3929240538781627,1.7695122617292045,10330.03661660316,32398,18309
OpenDrift deterministic,opendrift_control,per_date,2010-05-22,0.4151056197688322,0.4739006448409186,0.4965901046519223,0.5375688001709893,0.4807912923581656,0.2619137432415441,0.4151056197688322,1.0316474914808191,76232.46730332871,30577,29639
OpenDrift deterministic,opendrift_control,per_date,2010-05-23,0.3623263172375842,0.4081119148971579,0.4258838521947463,0.4620170046732202,0.41458477225067714,0.2212445135140811,0.3623263172375842,1.0073872070143948,75782.78907885356,29183,28969
OpenDrift deterministic,opendrift_control,event_corridor,2010-05-21/2010-05-23,0.5032507503688254,0.5522595364660361,0.5699509237431393,0.6018332061372648,0.5568236041788164,0.336229164967235,0.5032507503688254,1.2183726441710867,72547.71797932636,53980,44305
OpenDrift ensemble p50,ensemble_p50,per_date,2010-05-21,0.4167311853572349,0.444215305254616,0.4597503684845949,0.491068646512929,0.4529413764023437,0.2632093688090879,0.416731185357235,1.7512698672783875,12911.21041152912,32064,18309
OpenDrift ensemble p50,ensemble_p50,per_date,2010-05-22,0.4886859865025804,0.5278173845318348,0.5503094005366749,0.5962287233937766,0.5407603737412167,0.323351720514841,0.4886859865025804,1.039744930665677,91618.0859732554,30817,29639
OpenDrift ensemble p50,ensemble_p50,per_date,2010-05-23,0.4290579276118764,0.4604353790410878,0.4798621984061918,0.5213871391060373,0.4726856610412983,0.2731214187672934,0.4290579276118764,1.0171562704960475,91101.48812886389,29466,28969
OpenDrift ensemble p50,ensemble_p50,event_corridor,2010-05-21/2010-05-23,0.4997350016107745,0.529937889293113,0.5467342141741067,0.579021336824227,0.5388571104755553,0.3330978208165358,0.4997350016107745,1.171921904976865,94270.4655276587,51922,44305
OpenDrift ensemble p90,ensemble_p90,per_date,2010-05-21,0.4435495637456593,0.4848458416923928,0.503548275306642,0.5399640932860689,0.4929769435076907,0.2849750646818403,0.4435495637456593,0.8717024414222514,17793.266946493597,15960,18309
OpenDrift ensemble p90,ensemble_p90,per_date,2010-05-22,0.4361287448490923,0.4766774772160339,0.4979199494220134,0.5374651365296192,0.4870478270041897,0.2788776527560176,0.4361287448490923,0.5147272175174601,67463.397367849,15256,29639
OpenDrift ensemble p90,ensemble_p90,per_date,2010-05-23,0.4038649985187211,0.4347767937705259,0.4520240552226734,0.4862824745799448,0.4442370805229663,0.253026841804683,0.4038649985187211,0.5147571541993166,72492.78886871139,14912,28969
OpenDrift ensemble p90,ensemble_p90,event_corridor,2010-05-21/2010-05-23,0.454211234583316,0.4892338935942897,0.5062105106404822,0.536833105337341,0.4966221860388572,0.2938378417188706,0.4542112345833159,0.6269269834104503,68939.88605452063,27776,44305
PyGNOME deterministic,pygnome_deterministic,per_date,2010-05-21,0.2065990439547627,0.2318178588304653,0.250366977977345,0.2848881994065231,0.24341802004227403,0.1151995839292679,0.2065990439547627,0.4053744060298214,11286.917119679343,7422,18309
PyGNOME deterministic,pygnome_deterministic,per_date,2010-05-22,0.2193739600665557,0.244507867165193,0.2607432764555125,0.2911700057170687,0.25394877735108246,0.1232004672214922,0.2193739600665557,0.2977495866932083,72302.3753510906,8825,29639
PyGNOME deterministic,pygnome_deterministic,per_date,2010-05-23,0.2244364754098361,0.2444718436953005,0.257744231518907,0.2861733216777772,0.2532064680754552,0.1264029544995527,0.224436475409836,0.3476474852428458,53057.51784598663,10071,28969
PyGNOME deterministic,pygnome_deterministic,event_corridor,2010-05-21/2010-05-23,0.3197216063069722,0.349499662890653,0.3688947943200658,0.4068381750631135,0.36123855964520113,0.1902789487188886,0.3197216063069721,0.4658390700823834,58867.1171755057,20639,44305
