pair_id,pair_role,track_id,forecast_product_type,forecast_path,observation_product_type,observation_path,pairing_date_utc,source_semantics,truth_source,transport_model,provisional_transport_model,grid_id,grid_crs,precheck_csv,precheck_json,run_type,reused_deterministic_products,reused_from_phase3c_external_case_ensemble_comparison
opendrift_control_2010-05-21,per_date,opendrift_control,control_footprint_mask_datecomposite,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_run/products/control_footprint_mask_2010-05-21_datecomposite.tif,public_dwh_observation_mask,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_setup/obs_mask_2010-05-21.tif,2010-05-21,date-composite public DWH observations; no invented sub-daily acquisition time,public_dwh_observation_derived_mask,OpenDrift OceanDrift,True,CASE_DWH_RETRO_2010_72H_EPSG32616_1000m,EPSG:32616,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/prechecks/opendrift_control_2010-05-21.csv,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/prechecks/opendrift_control_2010-05-21.json,deterministic,True,True
opendrift_control_2010-05-22,per_date,opendrift_control,control_footprint_mask_datecomposite,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_run/products/control_footprint_mask_2010-05-22_datecomposite.tif,public_dwh_observation_mask,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_setup/obs_mask_2010-05-22.tif,2010-05-22,date-composite public DWH observations; no invented sub-daily acquisition time,public_dwh_observation_derived_mask,OpenDrift OceanDrift,True,CASE_DWH_RETRO_2010_72H_EPSG32616_1000m,EPSG:32616,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/prechecks/opendrift_control_2010-05-22.csv,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/prechecks/opendrift_control_2010-05-22.json,deterministic,True,True
opendrift_control_2010-05-23,per_date,opendrift_control,control_footprint_mask_datecomposite,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_run/products/control_footprint_mask_2010-05-23_datecomposite.tif,public_dwh_observation_mask,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_setup/obs_mask_2010-05-23.tif,2010-05-23,date-composite public DWH observations; no invented sub-daily acquisition time,public_dwh_observation_derived_mask,OpenDrift OceanDrift,True,CASE_DWH_RETRO_2010_72H_EPSG32616_1000m,EPSG:32616,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/prechecks/opendrift_control_2010-05-23.csv,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/prechecks/opendrift_control_2010-05-23.json,deterministic,True,True
opendrift_control_eventcorridor_2010-05-21_2010-05-23,event_corridor,opendrift_control,control_footprint_mask_eventcorridor,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_run/products/control_footprint_mask_2010-05-21_2010-05-23_eventcorridor.tif,public_dwh_observation_mask_eventcorridor,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/products/obs_mask_2010-05-21_2010-05-23_eventcorridor.tif,2010-05-21/2010-05-23,date-composite public DWH observations; no invented sub-daily acquisition time,public_dwh_observation_derived_mask,OpenDrift OceanDrift,True,CASE_DWH_RETRO_2010_72H_EPSG32616_1000m,EPSG:32616,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/prechecks/opendrift_control_eventcorridor_2010-05-21_2010-05-23.csv,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/prechecks/opendrift_control_eventcorridor_2010-05-21_2010-05-23.json,deterministic,True,True
ensemble_p50_2010-05-21,per_date,ensemble_p50,mask_p50_datecomposite,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/products/mask_p50_2010-05-21_datecomposite.tif,public_dwh_observation_mask,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_setup/obs_mask_2010-05-21.tif,2010-05-21,date-composite public DWH observations; no invented sub-daily acquisition time,public_dwh_observation_derived_mask,OpenDrift OceanDrift,True,CASE_DWH_RETRO_2010_72H_EPSG32616_1000m,EPSG:32616,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/prechecks/ensemble_p50_2010-05-21.csv,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/prechecks/ensemble_p50_2010-05-21.json,ensemble_p50,False,True
ensemble_p50_2010-05-22,per_date,ensemble_p50,mask_p50_datecomposite,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/products/mask_p50_2010-05-22_datecomposite.tif,public_dwh_observation_mask,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_setup/obs_mask_2010-05-22.tif,2010-05-22,date-composite public DWH observations; no invented sub-daily acquisition time,public_dwh_observation_derived_mask,OpenDrift OceanDrift,True,CASE_DWH_RETRO_2010_72H_EPSG32616_1000m,EPSG:32616,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/prechecks/ensemble_p50_2010-05-22.csv,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/prechecks/ensemble_p50_2010-05-22.json,ensemble_p50,False,True
ensemble_p50_2010-05-23,per_date,ensemble_p50,mask_p50_datecomposite,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/products/mask_p50_2010-05-23_datecomposite.tif,public_dwh_observation_mask,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_setup/obs_mask_2010-05-23.tif,2010-05-23,date-composite public DWH observations; no invented sub-daily acquisition time,public_dwh_observation_derived_mask,OpenDrift OceanDrift,True,CASE_DWH_RETRO_2010_72H_EPSG32616_1000m,EPSG:32616,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/prechecks/ensemble_p50_2010-05-23.csv,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/prechecks/ensemble_p50_2010-05-23.json,ensemble_p50,False,True
ensemble_p50_eventcorridor_2010-05-21_2010-05-23,event_corridor,ensemble_p50,mask_p50_eventcorridor,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/products/mask_p50_2010-05-21_2010-05-23_eventcorridor.tif,public_dwh_observation_mask_eventcorridor,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/products/obs_mask_2010-05-21_2010-05-23_eventcorridor.tif,2010-05-21/2010-05-23,date-composite public DWH observations; no invented sub-daily acquisition time,public_dwh_observation_derived_mask,OpenDrift OceanDrift,True,CASE_DWH_RETRO_2010_72H_EPSG32616_1000m,EPSG:32616,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/prechecks/ensemble_p50_eventcorridor_2010-05-21_2010-05-23.csv,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/prechecks/ensemble_p50_eventcorridor_2010-05-21_2010-05-23.json,ensemble_p50,False,True
ensemble_p90_2010-05-21,per_date,ensemble_p90,mask_p90_datecomposite,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/products/mask_p90_2010-05-21_datecomposite.tif,public_dwh_observation_mask,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_setup/obs_mask_2010-05-21.tif,2010-05-21,date-composite public DWH observations; no invented sub-daily acquisition time,public_dwh_observation_derived_mask,OpenDrift OceanDrift,True,CASE_DWH_RETRO_2010_72H_EPSG32616_1000m,EPSG:32616,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/prechecks/ensemble_p90_2010-05-21.csv,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/prechecks/ensemble_p90_2010-05-21.json,ensemble_p90,False,True
ensemble_p90_2010-05-22,per_date,ensemble_p90,mask_p90_datecomposite,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/products/mask_p90_2010-05-22_datecomposite.tif,public_dwh_observation_mask,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_setup/obs_mask_2010-05-22.tif,2010-05-22,date-composite public DWH observations; no invented sub-daily acquisition time,public_dwh_observation_derived_mask,OpenDrift OceanDrift,True,CASE_DWH_RETRO_2010_72H_EPSG32616_1000m,EPSG:32616,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/prechecks/ensemble_p90_2010-05-22.csv,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/prechecks/ensemble_p90_2010-05-22.json,ensemble_p90,False,True
