board_file,board_family,panel_count,grid_structure,layout_mode,issue_types_found,layout_fix_applied,requested_font_family,actual_font_resolved,exact_arial_used,fallback_needed,text_shortened_or_wrapped,filenames_stayed_same,title_within_bounds,subtitle_within_bounds,guide_within_bounds
output/figure_package_publication/case_dwh_retro_2010_72h__phase3c_dwh_pygnome_comparator__opendrift_vs_pygnome__comparison_board__2010_05_21__board__slide__observed_deterministic_mask_p50_pygnome_board.png,DWH OpenDrift vs PyGNOME publication package,4,2x2,sidecar,mixed issue,"Direct panel rerender from stored figure specs, standardized gutters/margins, one shared board guide, and a separate locator/legend/provenance region.",Arial,Arial,True,False,True,True,True,True,True
output/figure_package_publication/case_dwh_retro_2010_72h__phase3c_dwh_pygnome_comparator__opendrift_vs_pygnome__comparison_board__2010_05_21_to_2010_05_23__board__slide__24h_48h_72h_mask_p50_mask_p90_dual_threshold_vs_pygnome_overview_board.png,DWH OpenDrift vs PyGNOME publication package,6,2x3,sidecar,mixed issue,"Direct panel rerender from stored figure specs, standardized gutters/margins, one shared board guide, and a separate locator/legend/provenance region.",Arial,Arial,True,False,True,True,True,True,True
output/figure_package_publication/case_dwh_retro_2010_72h__phase3c_dwh_pygnome_comparator__opendrift_vs_pygnome__comparison_board__2010_05_21_to_2010_05_23__board__slide__24h_48h_72h_mask_p50_mask_p90_vs_pygnome_three_row_overview_board.png,DWH OpenDrift vs PyGNOME publication package,9,3x3,sidecar,mixed issue,"Direct panel rerender from stored figure specs, standardized gutters/margins, one shared board guide, and a separate locator/legend/provenance region.",Arial,Arial,True,False,True,True,True,True,True
output/figure_package_publication/case_dwh_retro_2010_72h__phase3c_dwh_pygnome_comparator__opendrift_vs_pygnome__comparison_board__2010_05_21_to_2010_05_23__board__slide__24h_48h_72h_mask_p50_vs_pygnome_overview_board.png,DWH OpenDrift vs PyGNOME publication package,6,2x3,sidecar,mixed issue,"Direct panel rerender from stored figure specs, standardized gutters/margins, one shared board guide, and a separate locator/legend/provenance region.",Arial,Arial,True,False,True,True,True,True,True
output/figure_package_publication/case_dwh_retro_2010_72h__phase3c_dwh_pygnome_comparator__opendrift_vs_pygnome__comparison_board__2010_05_21_to_2010_05_23__board__slide__24h_48h_72h_mask_p90_vs_pygnome_overview_board.png,DWH OpenDrift vs PyGNOME publication package,6,2x3,sidecar,mixed issue,"Direct panel rerender from stored figure specs, standardized gutters/margins, one shared board guide, and a separate locator/legend/provenance region.",Arial,Arial,True,False,True,True,True,True,True
output/figure_package_publication/case_dwh_retro_2010_72h__phase3c_dwh_pygnome_comparator__opendrift_vs_pygnome__comparison_board__2010_05_21_to_2010_05_23__board__slide__eventcorridor_deterministic_vs_pygnome_board.png,DWH OpenDrift vs PyGNOME publication package,3,1x3,bottom_strip,mixed issue,"Direct panel rerender from stored figure specs, standardized gutters/margins, one shared board guide, and a separate locator/legend/provenance region.",Arial,Arial,True,False,True,True,True,True,True
output/figure_package_publication/case_dwh_retro_2010_72h__phase3c_dwh_pygnome_comparator__opendrift_vs_pygnome__comparison_board__2010_05_21_to_2010_05_23__board__slide__eventcorridor_mask_p50_vs_pygnome_board.png,DWH OpenDrift vs PyGNOME publication package,3,1x3,bottom_strip,mixed issue,"Direct panel rerender from stored figure specs, standardized gutters/margins, one shared board guide, and a separate locator/legend/provenance region.",Arial,Arial,True,False,True,True,True,True,True
output/figure_package_publication/case_dwh_retro_2010_72h__phase3c_dwh_pygnome_comparator__opendrift_vs_pygnome__comparison_board__2010_05_21_to_2010_05_23__board__slide__observed_deterministic_mask_p50_pygnome_board.png,DWH OpenDrift vs PyGNOME publication package,4,2x2,sidecar,mixed issue,"Direct panel rerender from stored figure specs, standardized gutters/margins, one shared board guide, and a separate locator/legend/provenance region.",Arial,Arial,True,False,True,True,True,True,True
output/figure_package_publication/case_dwh_retro_2010_72h__phase3c_dwh_pygnome_comparator__opendrift_vs_pygnome__comparison_board__2010_05_22__board__slide__observed_deterministic_mask_p50_pygnome_board.png,DWH OpenDrift vs PyGNOME publication package,4,2x2,sidecar,mixed issue,"Direct panel rerender from stored figure specs, standardized gutters/margins, one shared board guide, and a separate locator/legend/provenance region.",Arial,Arial,True,False,True,True,True,True,True
output/figure_package_publication/case_dwh_retro_2010_72h__phase3c_dwh_pygnome_comparator__opendrift_vs_pygnome__comparison_board__2010_05_23__board__slide__observed_deterministic_mask_p50_pygnome_board.png,DWH OpenDrift vs PyGNOME publication package,4,2x2,sidecar,mixed issue,"Direct panel rerender from stored figure specs, standardized gutters/margins, one shared board guide, and a separate locator/legend/provenance region.",Arial,Arial,True,False,True,True,True,True,True
output/figure_package_publication/case_dwh_retro_2010_72h__phase3c_external_case_ensemble_comparison__opendrift__comparison_board__2010_05_21__board__slide__observed_deterministic_mask_p50_mask_p90_board.png,DWH ensemble extension publication package,4,2x2,sidecar,mixed issue,"Direct panel rerender from stored figure specs, standardized gutters/margins, one shared board guide, and a separate locator/legend/provenance region.",Arial,Arial,True,False,True,True,True,True,True
output/figure_package_publication/case_dwh_retro_2010_72h__phase3c_external_case_ensemble_comparison__opendrift__comparison_board__2010_05_21_to_2010_05_23__board__slide__24h_48h_72h_mask_p50_footprint_overview_board.png,DWH ensemble extension publication package,3,1x3,bottom_strip,mixed issue,"Direct panel rerender from stored figure specs, standardized gutters/margins, one shared board guide, and a separate locator/legend/provenance region.",Arial,Arial,True,False,True,True,True,True,True
output/figure_package_publication/case_dwh_retro_2010_72h__phase3c_external_case_ensemble_comparison__opendrift__comparison_board__2010_05_21_to_2010_05_23__board__slide__24h_48h_72h_mask_p50_mask_p90_dual_threshold_overview_board.png,DWH ensemble extension publication package,3,1x3,bottom_strip,mixed issue,"Direct panel rerender from stored figure specs, standardized gutters/margins, one shared board guide, and a separate locator/legend/provenance region.",Arial,Arial,True,False,True,True,True,True,True
output/figure_package_publication/case_dwh_retro_2010_72h__phase3c_external_case_ensemble_comparison__opendrift__comparison_board__2010_05_21_to_2010_05_23__board__slide__24h_48h_72h_mask_p90_footprint_overview_board.png,DWH ensemble extension publication package,3,1x3,bottom_strip,mixed issue,"Direct panel rerender from stored figure specs, standardized gutters/margins, one shared board guide, and a separate locator/legend/provenance region.",Arial,Arial,True,False,True,True,True,True,True
output/figure_package_publication/case_dwh_retro_2010_72h__phase3c_external_case_ensemble_comparison__opendrift__comparison_board__2010_05_21_to_2010_05_23__board__slide__observed_deterministic_mask_p50_mask_p90_board.png,DWH ensemble extension publication package,4,2x2,sidecar,mixed issue,"Direct panel rerender from stored figure specs, standardized gutters/margins, one shared board guide, and a separate locator/legend/provenance region.",Arial,Arial,True,False,True,True,True,True,True
output/figure_package_publication/case_dwh_retro_2010_72h__phase3c_external_case_ensemble_comparison__opendrift__comparison_board__2010_05_22__board__slide__observed_deterministic_mask_p50_mask_p90_board.png,DWH ensemble extension publication package,4,2x2,sidecar,mixed issue,"Direct panel rerender from stored figure specs, standardized gutters/margins, one shared board guide, and a separate locator/legend/provenance region.",Arial,Arial,True,False,True,True,True,True,True
output/figure_package_publication/case_dwh_retro_2010_72h__phase3c_external_case_ensemble_comparison__opendrift__comparison_board__2010_05_23__board__slide__observed_deterministic_mask_p50_mask_p90_board.png,DWH ensemble extension publication package,4,2x2,sidecar,mixed issue,"Direct panel rerender from stored figure specs, standardized gutters/margins, one shared board guide, and a separate locator/legend/provenance region.",Arial,Arial,True,False,True,True,True,True,True
output/figure_package_publication/case_dwh_retro_2010_72h__phase3c_external_case_run__opendrift__comparison_board__2010_05_21_to_2010_05_23__board__slide__daily_deterministic_footprint_overview_board.png,DWH deterministic publication package,3,1x3,bottom_strip,mixed issue,"Direct panel rerender from stored figure specs, standardized gutters/margins, one shared board guide, and a separate locator/legend/provenance region.",Arial,Arial,True,False,True,True,True,True,True
output/figure_package_publication/case_dwh_retro_2010_72h__phase3c_external_case_run__opendrift_vs_pygnome__trajectory_board__2010_05_20_to_2010_05_23__board__slide__trajectory_board.png,DWH trajectory publication package,3,1x3,bottom_strip,mixed issue,"Direct panel rerender from stored figure specs, standardized gutters/margins, one shared board guide, and a separate locator/legend/provenance region.",Arial,Arial,True,False,False,True,True,True,True
output/figure_package_publication/case_mindoro_retro_2023__phase3a_reinit_crossmodel__opendrift_vs_pygnome__comparison_board__2023_03_14__board__slide__mindoro_crossmodel_board.png,Mindoro March 13 -> March 14 cross-model publication package,4,2x2,sidecar,uneven panel spacing | overlapping text | awkward reading-guide placement | legend clutter,"Direct panel rerender from stored figure specs, standardized gutters/margins, one shared board guide, and a separate locator/legend/provenance region.",Arial,Arial,True,False,True,True,True,True,True
output/figure_package_publication/case_mindoro_retro_2023__phase3b_legacy_strict__opendrift__comparison_board__2023_03_06__board__slide__mindoro_legacy_march6_board.png,Mindoro legacy March 6 honesty / limitations package,2,1x2,bottom_strip,mixed issue,"Direct panel rerender from stored figure specs, standardized gutters/margins, one shared board guide, and a separate locator/legend/provenance region.",Arial,Arial,True,False,False,True,True,True,True
output/figure_package_publication/case_mindoro_retro_2023__phase3b_reinit_primary__opendrift__comparison_board__2023_03_13_to_2023_03_14__board__slide__mindoro_primary_validation_board.png,Mindoro March 13 -> March 14 primary validation package,4,2x2,sidecar,uneven panel spacing | overlapping text | awkward reading-guide placement | weak title hierarchy,"Direct panel rerender from stored figure specs, standardized gutters/margins, one shared board guide, and a separate locator/legend/provenance region.",Arial,Arial,True,False,True,True,True,True,True
output/figure_package_publication/case_mindoro_retro_2023__phase4__openoil__comparison_board__2023_03_03_to_2023_03_06__all_scenarios__board__slide__oil_budget_board.png,Mindoro Phase 4 OpenDrift-only publication package,4,2x2,sidecar,mixed issue,"Direct panel rerender from stored figure specs, standardized gutters/margins, one shared board guide, and a separate locator/legend/provenance region.",Arial,Arial,True,False,False,True,True,True,True
output/figure_package_publication/case_mindoro_retro_2023__phase4__openoil__comparison_board__2023_03_03_to_2023_03_06__all_scenarios__board__slide__shoreline_impact_board.png,Mindoro Phase 4 OpenDrift-only publication package,3,1x3,bottom_strip,mixed issue,"Direct panel rerender from stored figure specs, standardized gutters/margins, one shared board guide, and a separate locator/legend/provenance region.",Arial,Arial,True,False,False,True,True,True,True
