loading_audit_schema_version,loading_audit_policy,case_name,recipe,description,intended_current_source,intended_wind_source,intended_wave_source,actual_current_reader,actual_wind_reader,actual_wave_reader,current_fallback_used,wind_fallback_used,wave_fallback_used,wave_forcing_present,wave_loading_status,validity_flag,status_flag,hard_fail,hard_fail_reason,invalidity_reason,output_path,map_file,ncs_score,segment_id,drifter_id,start_time_utc,end_time_utc,month_key
phase1_loading_audit_v2,invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain,300234063154080_20170210T180000Z_20170213T180000Z,cmems_era5,CMEMS currents + ERA5 winds,CMEMS,ERA5,CMEMS,Reader<cmems_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,False,False,False,True,loaded,valid,valid,False,,,,,4.0514159884553145,300234063154080_20170210T180000Z_20170213T180000Z,300234063154080,2017-02-10T18:00:00+00:00,2017-02-13T18:00:00+00:00,201702
phase1_loading_audit_v2,invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain,300234063154080_20170210T180000Z_20170213T180000Z,hycom_era5,HYCOM currents + ERA5 winds,HYCOM,ERA5,CMEMS,Reader<hycom_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,False,False,False,True,loaded,valid,valid,False,,,,,5.178614771696744,300234063154080_20170210T180000Z_20170213T180000Z,300234063154080,2017-02-10T18:00:00+00:00,2017-02-13T18:00:00+00:00,201702
phase1_loading_audit_v2,invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain,300234063154080_20170214T000000Z_20170217T000000Z,cmems_era5,CMEMS currents + ERA5 winds,CMEMS,ERA5,CMEMS,Reader<cmems_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,False,False,False,True,loaded,valid,valid,False,,,,,5.287106909639371,300234063154080_20170214T000000Z_20170217T000000Z,300234063154080,2017-02-14T00:00:00+00:00,2017-02-17T00:00:00+00:00,201702
phase1_loading_audit_v2,invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain,300234063154080_20170214T000000Z_20170217T000000Z,hycom_era5,HYCOM currents + ERA5 winds,HYCOM,ERA5,CMEMS,Reader<hycom_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,False,False,False,True,loaded,valid,valid,False,,,,,6.067003284264219,300234063154080_20170214T000000Z_20170217T000000Z,300234063154080,2017-02-14T00:00:00+00:00,2017-02-17T00:00:00+00:00,201702
phase1_loading_audit_v2,invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain,300234063155100_20170213T180000Z_20170216T180000Z,cmems_era5,CMEMS currents + ERA5 winds,CMEMS,ERA5,CMEMS,Reader<cmems_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,False,False,False,True,loaded,valid,valid,False,,,,,4.59159065081077,300234063155100_20170213T180000Z_20170216T180000Z,300234063155100,2017-02-13T18:00:00+00:00,2017-02-16T18:00:00+00:00,201702
phase1_loading_audit_v2,invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain,300234063155100_20170213T180000Z_20170216T180000Z,hycom_era5,HYCOM currents + ERA5 winds,HYCOM,ERA5,CMEMS,Reader<hycom_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,False,False,False,True,loaded,valid,valid,False,,,,,5.404619010715093,300234063155100_20170213T180000Z_20170216T180000Z,300234063155100,2017-02-13T18:00:00+00:00,2017-02-16T18:00:00+00:00,201702
phase1_loading_audit_v2,invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain,300234063155100_20170217T000000Z_20170220T000000Z,cmems_era5,CMEMS currents + ERA5 winds,CMEMS,ERA5,CMEMS,Reader<cmems_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,False,False,False,True,loaded,valid,valid,False,,,,,4.19173188668889,300234063155100_20170217T000000Z_20170220T000000Z,300234063155100,2017-02-17T00:00:00+00:00,2017-02-20T00:00:00+00:00,201702
phase1_loading_audit_v2,invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain,300234063155100_20170217T000000Z_20170220T000000Z,hycom_era5,HYCOM currents + ERA5 winds,HYCOM,ERA5,CMEMS,Reader<hycom_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,False,False,False,True,loaded,valid,valid,False,,,,,4.809418547380101,300234063155100_20170217T000000Z_20170220T000000Z,300234063155100,2017-02-17T00:00:00+00:00,2017-02-20T00:00:00+00:00,201702
phase1_loading_audit_v2,invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain,300234063155100_20170220T060000Z_20170223T060000Z,cmems_era5,CMEMS currents + ERA5 winds,CMEMS,ERA5,CMEMS,Reader<cmems_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,False,False,False,True,loaded,valid,valid,False,,,,,6.0138007226494405,300234063155100_20170220T060000Z_20170223T060000Z,300234063155100,2017-02-20T06:00:00+00:00,2017-02-23T06:00:00+00:00,201702
phase1_loading_audit_v2,invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain,300234063155100_20170220T060000Z_20170223T060000Z,hycom_era5,HYCOM currents + ERA5 winds,HYCOM,ERA5,CMEMS,Reader<hycom_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,False,False,False,True,loaded,valid,valid,False,,,,,6.739586671954471,300234063155100_20170220T060000Z_20170223T060000Z,300234063155100,2017-02-20T06:00:00+00:00,2017-02-23T06:00:00+00:00,201702
phase1_loading_audit_v2,invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain,300234063250850_20170227T000000Z_20170302T000000Z,cmems_era5,CMEMS currents + ERA5 winds,CMEMS,ERA5,CMEMS,Reader<cmems_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,False,False,False,True,loaded,valid,valid,False,,,,,4.4499769723370335,300234063250850_20170227T000000Z_20170302T000000Z,300234063250850,2017-02-27T00:00:00+00:00,2017-03-02T00:00:00+00:00,201702
phase1_loading_audit_v2,invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain,300234063250850_20170227T000000Z_20170302T000000Z,hycom_era5,HYCOM currents + ERA5 winds,HYCOM,ERA5,CMEMS,Reader<hycom_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,False,False,False,True,loaded,valid,valid,False,,,,,5.010588152593461,300234063250850_20170227T000000Z_20170302T000000Z,300234063250850,2017-02-27T00:00:00+00:00,2017-03-02T00:00:00+00:00,201702
