segment_id,segment_status,rejection_reason,drifter_id,start_time_utc,end_time_utc,month_key,expected_observation_count,actual_observation_count,coverage_complete,coverage_gap_detected,start_point_in_validation_box,window_points_within_validation_box,regional_box_status,non_overlap_status,drogue_status_complete,drogue_attached_through_window,drogue_lost_date_start_row,deploy_date_start_row,start_lat,start_lon,end_lat,end_lon,ve_start,vn_start,err_lat_start,err_lon_start,DrogueType,DrogueLength,DrogueDetectSensor
300234062412680_20170801T060000Z_20170804T060000Z,accepted,,300234062412680,2017-08-01T06:00:00+00:00,2017-08-04T06:00:00+00:00,201708,13,13,True,False,True,True,inside,accepted,True,True,2017-08-06T00:00:00+00:00,2017-04-22T00:00:00+00:00,12.905,119.536,12.607,120.094,0.26408,-0.04894,,,HOLY253,7.5 m,tether strain
300234063154080_20170210T000000Z_20170213T000000Z,accepted,,300234063154080,2017-02-10T00:00:00+00:00,2017-02-13T00:00:00+00:00,201702,13,13,True,False,True,True,inside,accepted,True,True,2017-02-20T00:00:00+00:00,2016-11-16T00:00:00+00:00,15.215,124.464,15.18,123.86,-0.27569,-0.07424,,,HOLY244,7.5 m,tether strain
300234063154080_20170213T060000Z_20170216T060000Z,accepted,,300234063154080,2017-02-13T06:00:00+00:00,2017-02-16T06:00:00+00:00,201702,13,13,True,False,True,True,inside,accepted,True,True,2017-02-20T00:00:00+00:00,2016-11-16T00:00:00+00:00,15.196,123.816,15.447,123.222,-0.2077,0.04293,,,HOLY244,7.5 m,tether strain
300234063154080_20170216T120000Z_20170219T120000Z,accepted,,300234063154080,2017-02-16T12:00:00+00:00,2017-02-19T12:00:00+00:00,201702,13,13,True,False,True,True,inside,accepted,True,True,2017-02-20T00:00:00+00:00,2016-11-16T00:00:00+00:00,15.484,123.141,16.069,122.622,-0.27592,0.23678,,,HOLY244,7.5 m,tether strain
300234063155100_20170212T000000Z_20170215T000000Z,accepted,,300234063155100,2017-02-12T00:00:00+00:00,2017-02-15T00:00:00+00:00,201702,13,13,True,False,True,True,inside,accepted,True,True,2017-02-24T00:00:00+00:00,2016-11-16T00:00:00+00:00,14.813,124.497,14.753,124.105,-0.18735,-0.00759,,,HOLY244,7.5 m,tether strain
300234063155100_20170215T060000Z_20170218T060000Z,accepted,,300234063155100,2017-02-15T06:00:00+00:00,2017-02-18T06:00:00+00:00,201702,13,13,True,False,True,True,inside,accepted,True,True,2017-02-24T00:00:00+00:00,2016-11-16T00:00:00+00:00,14.775,124.078,14.887,123.653,-0.12629,0.11076,,,HOLY244,7.5 m,tether strain
300234063155100_20170218T120000Z_20170221T120000Z,accepted,,300234063155100,2017-02-18T12:00:00+00:00,2017-02-21T12:00:00+00:00,201702,13,13,True,False,True,True,inside,accepted,True,True,2017-02-24T00:00:00+00:00,2016-11-16T00:00:00+00:00,14.91,123.603,15.316,123.013,-0.2526,0.11031,,,HOLY244,7.5 m,tether strain
300234063250850_20170223T120000Z_20170226T120000Z,accepted,,300234063250850,2017-02-23T12:00:00+00:00,2017-02-26T12:00:00+00:00,201702,13,13,True,False,True,True,inside,accepted,True,True,2017-03-13T00:00:00+00:00,2016-10-08T00:00:00+00:00,16.499,124.391,16.087,124.054,-0.14321,-0.03827,,,HOLY244,7.5 m,tether strain
300234063250850_20170226T180000Z_20170301T180000Z,accepted,,300234063250850,2017-02-26T18:00:00+00:00,2017-03-01T18:00:00+00:00,201702,13,13,True,False,True,True,inside,accepted,True,True,2017-03-13T00:00:00+00:00,2016-10-08T00:00:00+00:00,16.076,124.033,15.673,123.701,-0.22456,-0.21103,,,HOLY244,7.5 m,tether strain
300234063250850_20170302T000000Z_20170305T000000Z,accepted,,300234063250850,2017-03-02T00:00:00+00:00,2017-03-05T00:00:00+00:00,201703,13,13,True,False,True,True,inside,accepted,True,True,2017-03-13T00:00:00+00:00,2016-10-08T00:00:00+00:00,15.649,123.655,15.559,123.447,-0.0825,-0.10668,,,HOLY244,7.5 m,tether strain
