loading_audit_schema_version,loading_audit_policy,case_name,recipe,description,intended_current_source,intended_wind_source,intended_wave_source,actual_current_reader,actual_wind_reader,actual_wave_reader,current_fallback_used,wind_fallback_used,wave_fallback_used,wave_forcing_present,wave_loading_status,validity_flag,status_flag,hard_fail,hard_fail_reason,invalidity_reason,output_path,map_file,ncs_score,segment_id,drifter_id,start_time_utc,end_time_utc,month_key
phase1_loading_audit_v2,invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain,300234062412680_20170801T060000Z_20170804T060000Z,cmems_era5,CMEMS currents + ERA5 winds,CMEMS,ERA5,CMEMS,Reader<cmems_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,False,False,False,True,loaded,valid,valid,False,,,,,5.320923564994768,300234062412680_20170801T060000Z_20170804T060000Z,300234062412680,2017-08-01T06:00:00+00:00,2017-08-04T06:00:00+00:00,201708
phase1_loading_audit_v2,invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain,300234062412680_20170801T060000Z_20170804T060000Z,cmems_gfs,CMEMS currents + GFS winds,CMEMS,GFS,CMEMS,Reader<cmems_curr.nc>,Reader<gfs_wind.nc>,Reader<cmems_wave.nc>,False,False,False,True,loaded,valid,valid,False,,,,,5.200823637706748,300234062412680_20170801T060000Z_20170804T060000Z,300234062412680,2017-08-01T06:00:00+00:00,2017-08-04T06:00:00+00:00,201708
phase1_loading_audit_v2,invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain,300234062412680_20170801T060000Z_20170804T060000Z,hycom_era5,HYCOM currents + ERA5 winds,HYCOM,ERA5,CMEMS,Reader<hycom_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,False,False,False,True,loaded,valid,valid,False,,,,,4.6130112589656695,300234062412680_20170801T060000Z_20170804T060000Z,300234062412680,2017-08-01T06:00:00+00:00,2017-08-04T06:00:00+00:00,201708
phase1_loading_audit_v2,invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain,300234062412680_20170801T060000Z_20170804T060000Z,hycom_gfs,HYCOM currents + GFS winds,HYCOM,GFS,CMEMS,Reader<hycom_curr.nc>,Reader<gfs_wind.nc>,Reader<cmems_wave.nc>,False,False,False,True,loaded,valid,valid,False,,,,,4.49022524145038,300234062412680_20170801T060000Z_20170804T060000Z,300234062412680,2017-08-01T06:00:00+00:00,2017-08-04T06:00:00+00:00,201708
phase1_loading_audit_v2,invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain,300234063154080_20170210T000000Z_20170213T000000Z,cmems_era5,CMEMS currents + ERA5 winds,CMEMS,ERA5,CMEMS,Reader<cmems_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,False,False,False,True,loaded,valid,valid,False,,,,,4.606520490004437,300234063154080_20170210T000000Z_20170213T000000Z,300234063154080,2017-02-10T00:00:00+00:00,2017-02-13T00:00:00+00:00,201702
phase1_loading_audit_v2,invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain,300234063154080_20170210T000000Z_20170213T000000Z,cmems_gfs,CMEMS currents + GFS winds,CMEMS,GFS,CMEMS,Reader<cmems_curr.nc>,Reader<gfs_wind.nc>,Reader<cmems_wave.nc>,False,False,False,True,loaded,valid,valid,False,,,,,4.560256362369812,300234063154080_20170210T000000Z_20170213T000000Z,300234063154080,2017-02-10T00:00:00+00:00,2017-02-13T00:00:00+00:00,201702
phase1_loading_audit_v2,invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain,300234063154080_20170210T000000Z_20170213T000000Z,hycom_era5,HYCOM currents + ERA5 winds,HYCOM,ERA5,CMEMS,Reader<hycom_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,False,False,False,True,loaded,valid,valid,False,,,,,4.342217318029784,300234063154080_20170210T000000Z_20170213T000000Z,300234063154080,2017-02-10T00:00:00+00:00,2017-02-13T00:00:00+00:00,201702
phase1_loading_audit_v2,invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain,300234063154080_20170210T000000Z_20170213T000000Z,hycom_gfs,HYCOM currents + GFS winds,HYCOM,GFS,CMEMS,Reader<hycom_curr.nc>,Reader<gfs_wind.nc>,Reader<cmems_wave.nc>,False,False,False,True,loaded,valid,valid,False,,,,,4.301851967864987,300234063154080_20170210T000000Z_20170213T000000Z,300234063154080,2017-02-10T00:00:00+00:00,2017-02-13T00:00:00+00:00,201702
phase1_loading_audit_v2,invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain,300234063154080_20170213T060000Z_20170216T060000Z,cmems_era5,CMEMS currents + ERA5 winds,CMEMS,ERA5,CMEMS,Reader<cmems_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,False,False,False,True,loaded,valid,valid,False,,,,,4.845251292495182,300234063154080_20170213T060000Z_20170216T060000Z,300234063154080,2017-02-13T06:00:00+00:00,2017-02-16T06:00:00+00:00,201702
phase1_loading_audit_v2,invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain,300234063154080_20170213T060000Z_20170216T060000Z,cmems_gfs,CMEMS currents + GFS winds,CMEMS,GFS,CMEMS,Reader<cmems_curr.nc>,Reader<gfs_wind.nc>,Reader<cmems_wave.nc>,False,False,False,True,loaded,valid,valid,False,,,,,4.791575168459862,300234063154080_20170213T060000Z_20170216T060000Z,300234063154080,2017-02-13T06:00:00+00:00,2017-02-16T06:00:00+00:00,201702
phase1_loading_audit_v2,invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain,300234063154080_20170213T060000Z_20170216T060000Z,hycom_era5,HYCOM currents + ERA5 winds,HYCOM,ERA5,CMEMS,Reader<hycom_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,False,False,False,True,loaded,valid,valid,False,,,,,4.613239000008625,300234063154080_20170213T060000Z_20170216T060000Z,300234063154080,2017-02-13T06:00:00+00:00,2017-02-16T06:00:00+00:00,201702
phase1_loading_audit_v2,invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain,300234063154080_20170213T060000Z_20170216T060000Z,hycom_gfs,HYCOM currents + GFS winds,HYCOM,GFS,CMEMS,Reader<hycom_curr.nc>,Reader<gfs_wind.nc>,Reader<cmems_wave.nc>,False,False,False,True,loaded,valid,valid,False,,,,,4.556871014422477,300234063154080_20170213T060000Z_20170216T060000Z,300234063154080,2017-02-13T06:00:00+00:00,2017-02-16T06:00:00+00:00,201702
phase1_loading_audit_v2,invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain,300234063154080_20170216T120000Z_20170219T120000Z,cmems_era5,CMEMS currents + ERA5 winds,CMEMS,ERA5,CMEMS,Reader<cmems_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,False,False,False,True,loaded,valid,valid,False,,,,,5.163310416373385,300234063154080_20170216T120000Z_20170219T120000Z,300234063154080,2017-02-16T12:00:00+00:00,2017-02-19T12:00:00+00:00,201702
phase1_loading_audit_v2,invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain,300234063154080_20170216T120000Z_20170219T120000Z,cmems_gfs,CMEMS currents + GFS winds,CMEMS,GFS,CMEMS,Reader<cmems_curr.nc>,Reader<gfs_wind.nc>,Reader<cmems_wave.nc>,False,False,False,True,loaded,valid,valid,False,,,,,5.196008585243827,300234063154080_20170216T120000Z_20170219T120000Z,300234063154080,2017-02-16T12:00:00+00:00,2017-02-19T12:00:00+00:00,201702
phase1_loading_audit_v2,invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain,300234063154080_20170216T120000Z_20170219T120000Z,hycom_era5,HYCOM currents + ERA5 winds,HYCOM,ERA5,CMEMS,Reader<hycom_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,False,False,False,True,loaded,valid,valid,False,,,,,4.899893491744501,300234063154080_20170216T120000Z_20170219T120000Z,300234063154080,2017-02-16T12:00:00+00:00,2017-02-19T12:00:00+00:00,201702
phase1_loading_audit_v2,invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain,300234063154080_20170216T120000Z_20170219T120000Z,hycom_gfs,HYCOM currents + GFS winds,HYCOM,GFS,CMEMS,Reader<hycom_curr.nc>,Reader<gfs_wind.nc>,Reader<cmems_wave.nc>,False,False,False,True,loaded,valid,valid,False,,,,,4.933425412366124,300234063154080_20170216T120000Z_20170219T120000Z,300234063154080,2017-02-16T12:00:00+00:00,2017-02-19T12:00:00+00:00,201702
phase1_loading_audit_v2,invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain,300234063155100_20170212T000000Z_20170215T000000Z,cmems_era5,CMEMS currents + ERA5 winds,CMEMS,ERA5,CMEMS,Reader<cmems_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,False,False,False,True,loaded,valid,valid,False,,,,,2.7042186763628067,300234063155100_20170212T000000Z_20170215T000000Z,300234063155100,2017-02-12T00:00:00+00:00,2017-02-15T00:00:00+00:00,201702
phase1_loading_audit_v2,invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain,300234063155100_20170212T000000Z_20170215T000000Z,cmems_gfs,CMEMS currents + GFS winds,CMEMS,GFS,CMEMS,Reader<cmems_curr.nc>,Reader<gfs_wind.nc>,Reader<cmems_wave.nc>,False,False,False,True,loaded,valid,valid,False,,,,,2.6060980691897924,300234063155100_20170212T000000Z_20170215T000000Z,300234063155100,2017-02-12T00:00:00+00:00,2017-02-15T00:00:00+00:00,201702
phase1_loading_audit_v2,invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain,300234063155100_20170212T000000Z_20170215T000000Z,hycom_era5,HYCOM currents + ERA5 winds,HYCOM,ERA5,CMEMS,Reader<hycom_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,False,False,False,True,loaded,valid,valid,False,,,,,3.268673420772443,300234063155100_20170212T000000Z_20170215T000000Z,300234063155100,2017-02-12T00:00:00+00:00,2017-02-15T00:00:00+00:00,201702
phase1_loading_audit_v2,invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain,300234063155100_20170212T000000Z_20170215T000000Z,hycom_gfs,HYCOM currents + GFS winds,HYCOM,GFS,CMEMS,Reader<hycom_curr.nc>,Reader<gfs_wind.nc>,Reader<cmems_wave.nc>,False,False,False,True,loaded,valid,valid,False,,,,,3.1668669640224256,300234063155100_20170212T000000Z_20170215T000000Z,300234063155100,2017-02-12T00:00:00+00:00,2017-02-15T00:00:00+00:00,201702
phase1_loading_audit_v2,invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain,300234063155100_20170215T060000Z_20170218T060000Z,cmems_era5,CMEMS currents + ERA5 winds,CMEMS,ERA5,CMEMS,Reader<cmems_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,False,False,False,True,loaded,valid,valid,False,,,,,4.792649522222505,300234063155100_20170215T060000Z_20170218T060000Z,300234063155100,2017-02-15T06:00:00+00:00,2017-02-18T06:00:00+00:00,201702
phase1_loading_audit_v2,invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain,300234063155100_20170215T060000Z_20170218T060000Z,cmems_gfs,CMEMS currents + GFS winds,CMEMS,GFS,CMEMS,Reader<cmems_curr.nc>,Reader<gfs_wind.nc>,Reader<cmems_wave.nc>,False,False,False,True,loaded,valid,valid,False,,,,,4.79237272880171,300234063155100_20170215T060000Z_20170218T060000Z,300234063155100,2017-02-15T06:00:00+00:00,2017-02-18T06:00:00+00:00,201702
phase1_loading_audit_v2,invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain,300234063155100_20170215T060000Z_20170218T060000Z,hycom_era5,HYCOM currents + ERA5 winds,HYCOM,ERA5,CMEMS,Reader<hycom_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,False,False,False,True,loaded,valid,valid,False,,,,,4.2781562280239935,300234063155100_20170215T060000Z_20170218T060000Z,300234063155100,2017-02-15T06:00:00+00:00,2017-02-18T06:00:00+00:00,201702
phase1_loading_audit_v2,invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain,300234063155100_20170215T060000Z_20170218T060000Z,hycom_gfs,HYCOM currents + GFS winds,HYCOM,GFS,CMEMS,Reader<hycom_curr.nc>,Reader<gfs_wind.nc>,Reader<cmems_wave.nc>,False,False,False,True,loaded,valid,valid,False,,,,,4.281274015513655,300234063155100_20170215T060000Z_20170218T060000Z,300234063155100,2017-02-15T06:00:00+00:00,2017-02-18T06:00:00+00:00,201702
phase1_loading_audit_v2,invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain,300234063155100_20170218T120000Z_20170221T120000Z,cmems_era5,CMEMS currents + ERA5 winds,CMEMS,ERA5,CMEMS,Reader<cmems_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,False,False,False,True,loaded,valid,valid,False,,,,,4.422266937999016,300234063155100_20170218T120000Z_20170221T120000Z,300234063155100,2017-02-18T12:00:00+00:00,2017-02-21T12:00:00+00:00,201702
phase1_loading_audit_v2,invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain,300234063155100_20170218T120000Z_20170221T120000Z,cmems_gfs,CMEMS currents + GFS winds,CMEMS,GFS,CMEMS,Reader<cmems_curr.nc>,Reader<gfs_wind.nc>,Reader<cmems_wave.nc>,False,False,False,True,loaded,valid,valid,False,,,,,4.39878998231295,300234063155100_20170218T120000Z_20170221T120000Z,300234063155100,2017-02-18T12:00:00+00:00,2017-02-21T12:00:00+00:00,201702
phase1_loading_audit_v2,invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain,300234063155100_20170218T120000Z_20170221T120000Z,hycom_era5,HYCOM currents + ERA5 winds,HYCOM,ERA5,CMEMS,Reader<hycom_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,False,False,False,True,loaded,valid,valid,False,,,,,4.029817703582225,300234063155100_20170218T120000Z_20170221T120000Z,300234063155100,2017-02-18T12:00:00+00:00,2017-02-21T12:00:00+00:00,201702
phase1_loading_audit_v2,invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain,300234063155100_20170218T120000Z_20170221T120000Z,hycom_gfs,HYCOM currents + GFS winds,HYCOM,GFS,CMEMS,Reader<hycom_curr.nc>,Reader<gfs_wind.nc>,Reader<cmems_wave.nc>,False,False,False,True,loaded,valid,valid,False,,,,,4.007259973757037,300234063155100_20170218T120000Z_20170221T120000Z,300234063155100,2017-02-18T12:00:00+00:00,2017-02-21T12:00:00+00:00,201702
phase1_loading_audit_v2,invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain,300234063250850_20170223T120000Z_20170226T120000Z,cmems_era5,CMEMS currents + ERA5 winds,CMEMS,ERA5,CMEMS,Reader<cmems_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,False,False,False,True,loaded,valid,valid,False,,,,,4.720998091566853,300234063250850_20170223T120000Z_20170226T120000Z,300234063250850,2017-02-23T12:00:00+00:00,2017-02-26T12:00:00+00:00,201702
