time,hours_elapsed,surface_t,beached_t,evaporated_t,dispersed_t,surface_pct,beached_pct,evaporated_pct,dispersed_pct
2023-03-03 09:59:00,0,50.0131,0.0,0.0,0.0,100.03,0.0,0.0,0.0
2023-03-03 10:59:00,1,41.7764,0.0,7.7011,0.5225,83.55,0.0,15.4,1.04
2023-03-03 11:59:00,2,41.4735,0.0,8.3765,0.15,82.95,0.0,16.75,0.3
2023-03-03 12:59:00,3,41.2065,0.0,8.6457,0.1478,82.41,0.0,17.29,0.3
2023-03-03 13:59:00,4,39.9461,1.0087,8.8974,0.1479,79.89,2.02,17.79,0.3
2023-03-03 14:59:00,5,36.0586,3.659,8.8871,1.3952,72.12,7.32,17.77,2.79
2023-03-03 15:59:00,6,34.187,1.6761,8.2264,5.9104,68.37,3.35,16.45,11.82
2023-03-03 16:59:00,7,32.9804,1.0321,8.0094,7.9781,65.96,2.06,16.02,15.96
2023-03-03 17:59:00,8,31.7646,1.0596,7.9181,9.2577,63.53,2.12,15.84,18.52
2023-03-03 18:59:00,9,30.7922,0.8248,7.8023,10.5807,61.58,1.65,15.6,21.16
2023-03-03 19:59:00,10,30.0394,0.6052,7.7354,11.6201,60.08,1.21,15.47,23.24
2023-03-03 20:59:00,11,29.3186,0.5731,7.7216,12.3867,58.64,1.15,15.44,24.77
2023-03-03 21:59:00,12,28.55,0.631,7.7082,13.1109,57.1,1.26,15.42,26.22
2023-03-03 22:59:00,13,28.0495,0.3789,7.6575,13.9141,56.1,0.76,15.32,27.83
2023-03-03 23:59:00,14,27.9153,0.0109,7.669,14.4048,55.83,0.02,15.34,28.81
2023-03-04 00:59:00,15,27.7689,0.0,7.7892,14.442,55.54,0.0,15.58,28.88
2023-03-04 01:59:00,16,27.5367,0.0,7.931,14.5322,55.07,0.0,15.86,29.06
2023-03-04 02:59:00,17,26.9522,0.2834,8.0977,14.6668,53.9,0.57,16.2,29.33
2023-03-04 03:59:00,18,26.4444,0.197,8.1796,15.179,52.89,0.39,16.36,30.36
2023-03-04 04:59:00,19,23.6066,2.5345,8.2831,15.5758,47.21,5.07,16.57,31.15
2023-03-04 05:59:00,20,18.7418,4.6173,7.5992,19.0417,37.48,9.23,15.2,38.08
2023-03-04 06:59:00,21,13.4867,5.0688,6.2015,25.243,26.97,10.14,12.4,50.49
2023-03-04 07:59:00,22,8.7035,4.6492,4.5932,32.0541,17.41,9.3,9.19,64.11
2023-03-04 08:59:00,23,6.0747,2.5447,3.0542,38.3264,12.15,5.09,6.11,76.65
2023-03-04 09:59:00,24,4.833,1.193,2.1854,41.7887,9.67,2.39,4.37,83.58
2023-03-04 10:59:00,25,3.9124,0.9166,1.7628,43.4082,7.82,1.83,3.53,86.82
2023-03-04 11:59:00,26,3.3955,0.5167,1.4217,44.6661,6.79,1.03,2.84,89.33
2023-03-04 12:59:00,27,2.619,0.7764,1.2295,45.375,5.24,1.55,2.46,90.75
2023-03-04 13:59:00,28,1.6457,0.9728,0.9478,46.4336,3.29,1.95,1.9,92.87
2023-03-04 14:59:00,29,0.9527,0.6921,0.5983,47.7569,1.91,1.38,1.2,95.51
2023-03-04 15:59:00,30,0.3195,0.632,0.3468,48.7017,0.64,1.26,0.69,97.4
2023-03-04 16:59:00,31,0.0,0.3193,0.1162,49.5645,0.0,0.64,0.23,99.13
