time,hours_elapsed,surface_t,beached_t,evaporated_t,dispersed_t,surface_pct,beached_pct,evaporated_pct,dispersed_pct
2023-03-03 09:59:00,0,50.344,0.0,0.0,0.0,100.69,0.0,0.0,0.0
2023-03-03 10:59:00,1,22.4913,0.0,23.2507,4.258,44.98,0.0,46.5,8.52
2023-03-03 11:59:00,2,21.1431,0.0,28.3882,0.4687,42.29,0.0,56.78,0.94
2023-03-03 12:59:00,3,19.968,0.0,29.5764,0.4556,39.94,0.0,59.15,0.91
2023-03-03 13:59:00,4,18.3863,0.4357,30.7244,0.4536,36.77,0.87,61.45,0.91
2023-03-03 14:59:00,5,15.7954,1.5172,30.9336,1.7538,31.59,3.03,61.87,3.51
2023-03-03 15:59:00,6,14.193,0.6417,28.8352,6.3301,28.39,1.28,57.67,12.66
2023-03-03 16:59:00,7,12.91,0.3934,28.3476,8.349,25.82,0.79,56.7,16.7
2023-03-03 17:59:00,8,11.7336,0.352,28.2498,9.6645,23.47,0.7,56.5,19.33
2023-03-03 18:59:00,9,10.6789,0.2565,28.0952,10.9694,21.36,0.51,56.19,21.94
2023-03-03 19:59:00,10,9.6993,0.1672,28.0983,12.0352,19.4,0.33,56.2,24.07
2023-03-03 20:59:00,11,8.7448,0.1336,28.3125,12.8091,17.49,0.27,56.63,25.62
2023-03-03 21:59:00,12,7.8464,0.1098,28.5423,13.5015,15.69,0.22,57.08,27.0
2023-03-03 22:59:00,13,7.074,0.0529,28.6493,14.2239,14.15,0.11,57.3,28.45
2023-03-03 23:59:00,14,6.3344,0.0004,28.9532,14.712,12.67,0.0,57.91,29.42
2023-03-04 00:59:00,15,5.5571,0.0,29.6809,14.7621,11.11,0.0,59.36,29.52
2023-03-04 01:59:00,16,4.7032,0.0,30.4882,14.8086,9.41,0.0,60.98,29.62
2023-03-04 02:59:00,17,3.7948,0.0171,31.359,14.8291,7.59,0.03,62.72,29.66
2023-03-04 03:59:00,18,2.9486,0.0119,31.8667,15.1728,5.9,0.02,63.73,30.35
2023-03-04 04:59:00,19,2.0272,0.1859,32.3956,15.3913,4.05,0.37,64.79,30.78
2023-03-04 05:59:00,20,1.1932,0.3043,29.6719,18.8305,2.39,0.61,59.34,37.66
2023-03-04 06:59:00,21,0.608,0.2817,24.124,24.9863,1.22,0.56,48.25,49.97
2023-03-04 07:59:00,22,0.3023,0.1777,17.6387,31.8813,0.6,0.36,35.28,63.76
2023-03-04 08:59:00,23,0.1802,0.0828,11.5899,38.1471,0.36,0.17,23.18,76.29
2023-03-04 09:59:00,24,0.1357,0.0349,8.1127,41.7166,0.27,0.07,16.23,83.43
2023-03-04 10:59:00,25,0.1104,0.0249,6.4606,43.4041,0.22,0.05,12.92,86.81
2023-03-04 11:59:00,26,0.0962,0.0142,5.2321,44.6575,0.19,0.03,10.46,89.31
2023-03-04 12:59:00,27,0.074,0.0222,4.5463,45.3575,0.15,0.04,9.09,90.71
2023-03-04 13:59:00,28,0.0458,0.0282,3.501,46.425,0.09,0.06,7.0,92.85
2023-03-04 14:59:00,29,0.0268,0.0189,2.1788,47.7755,0.05,0.04,4.36,95.55
2023-03-04 15:59:00,30,0.0088,0.0179,1.2738,48.6995,0.02,0.04,2.55,97.4
2023-03-04 16:59:00,31,0.0,0.0088,0.4197,49.5715,0.0,0.02,0.84,99.14
