time,hours_elapsed,surface_t,beached_t,evaporated_t,dispersed_t,surface_pct,beached_pct,evaporated_pct,dispersed_pct
2023-03-03 09:59:00,0,52.1134,0.0,0.0,0.0,104.23,0.0,0.0,0.0
2023-03-03 10:59:00,1,40.4743,0.0,10.2308,0.0,80.95,0.0,20.46,0.0
2023-03-03 11:59:00,2,40.0718,0.0,11.3518,0.0,80.14,0.0,22.7,0.0
2023-03-03 12:59:00,3,39.7178,0.0,11.696,0.0,79.44,0.0,23.39,0.0
2023-03-03 13:59:00,4,38.4179,0.9674,12.0165,0.0,76.84,1.93,24.03,0.0
2023-03-03 14:59:00,5,34.5608,3.5564,11.9845,0.0,69.12,7.11,23.97,0.0
2023-03-03 15:59:00,6,32.7345,1.5688,11.0593,4.6374,65.47,3.14,22.12,9.27
2023-03-03 16:59:00,7,31.4775,1.0283,10.7622,6.732,62.96,2.06,21.52,13.46
2023-03-03 17:59:00,8,30.2527,1.0214,10.6133,8.1127,60.51,2.04,21.23,16.23
2023-03-03 18:59:00,9,29.2586,0.8019,10.442,9.4975,58.52,1.6,20.88,18.99
2023-03-03 19:59:00,10,28.5022,0.5653,10.3332,10.5993,57.0,1.13,20.67,21.2
2023-03-03 20:59:00,11,27.7746,0.538,10.3033,11.3841,55.55,1.08,20.61,22.77
2023-03-03 21:59:00,12,27.0186,0.5796,10.2723,12.1295,54.04,1.16,20.54,24.26
2023-03-03 22:59:00,13,26.5375,0.3261,10.1965,12.9398,53.08,0.65,20.39,25.88
2023-03-03 23:59:00,14,26.367,0.0144,10.2091,13.4094,52.73,0.03,20.42,26.82
2023-03-04 00:59:00,15,26.1829,0.0,10.3527,13.4644,52.37,0.0,20.71,26.93
2023-03-04 01:59:00,16,25.8925,0.0,10.5284,13.5792,51.78,0.0,21.06,27.16
2023-03-04 02:59:00,17,25.2474,0.2699,10.7398,13.7428,50.49,0.54,21.48,27.49
2023-03-04 03:59:00,18,24.6872,0.1749,10.8388,14.2991,49.37,0.35,21.68,28.6
2023-03-04 04:59:00,19,21.8592,2.4538,10.9725,14.7145,43.72,4.91,21.94,29.43
2023-03-04 05:59:00,20,17.2368,4.3206,10.022,18.4206,34.47,8.64,20.04,36.84
2023-03-04 06:59:00,21,12.356,4.6554,8.1465,24.8421,24.71,9.31,16.29,49.68
2023-03-04 07:59:00,22,7.9956,4.1987,6.0179,31.7878,15.99,8.4,12.04,63.58
2023-03-04 08:59:00,23,5.5395,2.3549,4.0082,38.0975,11.08,4.71,8.02,76.19
2023-03-04 09:59:00,24,4.3821,1.0995,2.8507,41.6678,8.76,2.2,5.7,83.34
2023-03-04 10:59:00,25,3.514,0.8632,2.2894,43.3334,7.03,1.73,4.58,86.67
2023-03-04 11:59:00,26,3.0473,0.4665,1.8326,44.6536,6.09,0.93,3.67,89.31
2023-03-04 12:59:00,27,2.3666,0.6806,1.5841,45.3688,4.73,1.36,3.17,90.74
2023-03-04 13:59:00,28,1.4945,0.8715,1.228,46.406,2.99,1.74,2.46,92.81
2023-03-04 14:59:00,29,0.8942,0.5993,0.7764,47.7301,1.79,1.2,1.55,95.46
2023-03-04 15:59:00,30,0.2838,0.6089,0.4622,48.6452,0.57,1.22,0.92,97.29
2023-03-04 16:59:00,31,0.0,0.2834,0.1475,49.569,0.0,0.57,0.3,99.14
